Semester,Campus,CRN,Course,Section #,Capacity,Enrollment,Faculty,Faculty IDs
Fall 2022,Boston,12972,DS 4400,1,87,67,"Elhamifar, Ehsan",209
Fall 2022,Online,13988,CY 5130,1,30,29,"Sierra, Jose",702
Fall 2022,Boston,13992,CS 1101,1,19,18,"Lieberherr, Karl",433
Fall 2022,Boston,13994,CS 1101,2,19,18,"Lieberherr, Karl",433
Fall 2022,Boston,13995,CS 1101,3,19,19,"Durant, Kathleen",195
Fall 2022,Boston,13996,CS 1101,4,19,15,"Lieberherr, Karl",433
Fall 2022,Boston,13997,CS 1101,5,19,14,"Lieberherr, Karl",433
Fall 2022,Boston,13998,CS 1101,6,19,18,"Durant, Kathleen",195
Fall 2022,Boston,13999,CS 1101,7,19,17,"Lieberherr, Karl",433
Fall 2022,Boston,14000,CS 1101,8,19,12,"Lieberherr, Karl",433
Fall 2022,Boston,14001,CS 1101,9,19,19,"Durant, Kathleen",195
Fall 2022,Boston,19127,CS 1200,49,19,19,"Bargoot, Rachel",55
Fall 2022,Boston,19128,CS 1200,50,19,19,"Pagan, Arianna",567
Fall 2022,Boston,19129,CS 1200,51,19,19,"Pagan, Arianna",567
Fall 2022,Boston,19130,CS 1200,52,19,19,"Spiritos, Hillary",732
Fall 2022,Boston,19131,CS 1200,53,19,19,"Spiritos, Hillary",732
Fall 2022,Boston,19132,CS 1200,54,19,19,"Bargoot, Rachel",55
Fall 2022,Boston,19133,CS 1200,55,19,19,"Callahan, Beth",105
Fall 2022,Boston,19134,CS 1200,56,19,19,"Sloan, Anna",717
Fall 2022,Boston,10943,CS 2500,3,113,112,"Patterson, Daniel",583
Fall 2022,Boston,19135,CS 1200,57,19,15,"Raykovich, Olivia",617
Fall 2022,Boston,19136,CS 1200,58,19,17,"Callahan, Beth",105
Fall 2022,Boston,19137,CS 1200,59,19,17,"Fontenot, Mark",236
Fall 2022,Boston,19138,CS 1200,60,19,11,"Bavasso, Madison",60
Fall 2022,Boston,19139,CS 1200,61,19,19,"Sloan, Anna",717
Fall 2022,Boston,19140,CS 1200,62,19,19,"Richards, Tyre",626
Fall 2022,Boston,19141,CS 1200,63,19,18,"Fontenot, Mark",236
Fall 2022,Boston,19142,CS 1200,64,19,17,"Grob, Alexander",286
Fall 2022,Boston,19143,CS 1200,65,19,18,"Bergsten, Keatyn",68
Fall 2022,Boston,19144,CS 1200,66,19,17,"Richards, Tyre",626
Fall 2022,Boston,19145,CS 1200,67,19,19,"Murrell, Kereme",532
Fall 2022,Boston,19146,CS 1200,68,19,19,"Strosnider, Megan",744
Fall 2022,Boston,10956,CS 5010,1,113,106,"Shesh, Amit",693
Fall 2022,Boston,19147,CS 1200,69,19,19,"Boco, L.",85
Fall 2022,Boston,19148,CS 1200,70,19,14,"Murrell, Kereme",532
Fall 2022,Boston,19149,CS 1200,71,19,15,"Strosnider, Megan",744
Fall 2022,Boston,19150,CS 1200,72,19,18,"Sheriffe, Chord",691
Fall 2022,Boston,19151,CS 1200,73,19,19,"Tessari, Taryn",763
Fall 2022,Boston,19152,CS 1200,74,19,19,"Sheriffe, Chord",691
Fall 2022,Boston,19153,CS 1200,75,19,18,"Boco, L.",85
Fall 2022,Online,19154,CS 1210,13,40,37,"Bishnoi, Priyanka",79
Fall 2022,Online,19155,CS 1210,14,33,32,"Hill, Victoria",322
Fall 2022,Boston,19158,CS 2500,1,97,53,"Guha, Arjun",291
Fall 2022,Online,15064,CY 5010,1,30,18,"Sierra, Jose",702
Fall 2022,Online,15066,CY 5200,1,36,29,"Papageorge, Themis",572
Fall 2022,Boston,19159,CS 2501,43,40,30,"Guha, Arjun",291
Fall 2022,Boston,17114,CS 1800,4,250,238,"Nunez, Lucia",552
Fall 2022,Boston,19160,CS 2501,44,40,23,"Guha, Arjun",291
Fall 2022,Boston,19163,CS 2501,47,36,33,"Derbinsky, Nate",177
Fall 2022,Boston,19164,CS 2501,48,36,35,"Derbinsky, Nate",177
Fall 2022,Boston,19165,CS 2501,49,40,33,"Derbinsky, Nate",177
Fall 2022,Boston,19166,CS 2501,50,36,35,"Derbinsky, Nate",177
Fall 2022,Boston,19167,CS 2501,51,36,35,"Derbinsky, Nate",177
Fall 2022,Boston,19168,CS 2501,52,40,34,"Derbinsky, Nate",177
Fall 2022,Boston,15078,DS 2500,1,80,78,"Higger, Matt",320
Fall 2022,Boston,15079,DS 2501,1,45,27,"Higger, Matt",320
Fall 2022,Boston,19169,CS 2501,53,36,35,"Derbinsky, Nate",177
Fall 2022,Boston,19170,CS 2501,54,36,33,"Derbinsky, Nate",177
Fall 2022,Online,15080,CS 5200,3,79,68,"Schedlbauer, Martin",663
Fall 2022,Online,15081,CS 6620,1,79,74,"Clachar, Sophine",134
Fall 2022,Boston,19171,CS 2501,55,40,40,"Derbinsky, Nate",177
Fall 2022,Boston,19172,CS 2501,56,36,36,"Derbinsky, Nate",177
Fall 2022,Boston,19173,CS 2501,57,36,36,"Derbinsky, Nate",177
Fall 2022,Boston,19174,CS 2501,58,40,39,"Derbinsky, Nate",177
Fall 2022,Boston,19175,CS 2501,59,36,34,"Derbinsky, Nate",177
Fall 2022,Boston,19176,CS 2501,60,36,36,"Derbinsky, Nate",177
Fall 2022,Boston,19177,CS 2501,61,40,35,"Derbinsky, Nate",177
Fall 2022,Boston,19178,CS 2501,62,36,31,"Derbinsky, Nate",177
Fall 2022,Boston,19179,CS 2501,63,36,29,"Derbinsky, Nate",177
Fall 2022,Boston,19180,CS 2501,64,40,30,"Derbinsky, Nate",177
Fall 2022,Boston,19181,CS 2800,4,49,48,"Trypakis, Stavros",782
Fall 2022,Boston,19182,CS 3000,2,114,114,"Van Der Poel, Drew",795
Fall 2022,Boston,19183,CS 3001,1,49,45,"Stalfa, David",739
Fall 2022,Boston,19184,CS 3001,2,49,34,"Jones, Matthew",366
Fall 2022,Boston,19185,CS 3001,3,49,49,"Jones, Matthew",366
Fall 2022,Boston,19186,CS 3001,4,49,48,"Jones, Matthew",366
Fall 2022,Boston,19187,CS 3501,23,19,10,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,Boston,19188,CS 3540,1,40,40,"De Schutter, Bob",168
Fall 2022,Boston,19189,CS 3650,2,113,113,"Jackson, Alden",344
Fall 2022,Boston,19190,CS 3800,2,49,46,"Walters, Robin",822
Fall 2022,Boston,19191,CS 4500,4,40,35,"Lerner, Ben",427
Fall 2022,Boston,19192,CS 4520,1,19,12,"Miazi, Sakib",497
Fall 2022,Boston,19193,CS 5001,17,87,41,"Bagley, Keith",49
Fall 2022,Boston,19203,CS 7200,2,31,14,"Vitek, Olga",814
Fall 2022,Boston,19195,CS 5004,5,35,36,"Bagley, Keith",49
Fall 2022,Boston,19206,CS 7670,1,29,5,"Tan, Cheng",758
Fall 2022,Boston,19208,IS 1300,2,20,20,"Creel, Kathleen",153
Fall 2022,Boston,19209,IS 4300,2,49,45,"Yildirim, Caglar",873
Fall 2022,Boston,19210,IS 4800,1,28,11,"Mishra, Varun",509
Fall 2022,Boston,19202,CS 7150,1,49,27,"Bau, David",59
Fall 2022,Boston,19204,CS 7340,2,31,24,"Bickmore, Timothy",76
Fall 2022,Boston,19205,CS 7610,2,35,15,"Shin, Ji-Yong",695
Fall 2022,Boston,19207,CS 7800,2,36,30,"Ullman, Jonathan",788
Fall 2022,Boston,19212,CY 2550,4,48,57,"Wang, Justin",828
Fall 2022,Boston,19213,CY 6740,3,20,14,"Noubir, Guevara",549
Fall 2022,Boston,19214,CY 7790,2,29,21,"Kirda, Engin",391
Fall 2022,Boston,19215,DS 2000,4,115,114,"Muzny, Felix",533
Fall 2022,Boston,19216,DS 2001,17,19,19,"Luo, Bowen",450
Fall 2022,Boston,19217,DS 2001,18,35,36,"Qu, Hong",600
Fall 2022,Boston,19219,DS 2001,20,35,36,"Luo, Bowen",450
Fall 2022,Boston,19222,CS 5003,1,30,34,"Bagley, Keith",49
Fall 2022,Boston,19223,CS 5003,2,30,34,"Bagley, Keith",49
Fall 2022,Boston,19224,CS 5003,3,34,34,"Bagley, Keith",49
Fall 2022,Boston,19225,CS 5003,4,30,30,"Bagley, Keith",49
Fall 2022,Boston,19226,CS 5003,5,30,21,"Bagley, Keith",49
Fall 2022,Boston,19227,CS 5003,6,34,2,"Bagley, Keith",49
Fall 2022,Boston,19220,DS 5010,2,65,38,"Yehoshua, Roi",871
Fall 2022,Online,12062,CS 5200,2,79,70,"Schedlbauer, Martin",663
Fall 2022,Boston,12078,CS 2510,2,87,87,"Razzaq, Leena",620
Fall 2022,Boston,12079,CS 2511,4,36,36,"Razzaq, Leena",620
Fall 2022,Boston,11560,CS 4100,1,87,83,"Holtzen, Steven",326
Fall 2022,Boston,14003,CS 3500,5,114,98,"Mihajlovikj, Vidoje",500
Fall 2022,Boston,11561,CS 6200,1,34,33,"Smith, David",719
Fall 2022,Boston,13113,CS 5310,1,49,34,"Shah, Mike",678
Fall 2022,Boston,14004,CS 3950,1,19,10,"Ranganathan, Aanjhan",612
Fall 2022,Online,12091,CS 1210,3,25,21,"Montes, Yasmil",518
Fall 2022,Boston,16187,CS 1802,41,40,37,"Nunez, Lucia",552
Fall 2022,Boston,16189,CS 1802,43,19,17,"Amor-Tijani, Ghita",29
Fall 2022,Boston,16190,CS 1802,44,19,17,"Park, John",576
Fall 2022,Boston,14005,CS 4950,1,19,5,"Ranganathan, Aanjhan",612
Fall 2022,Boston,16191,CS 1802,45,48,48,"Amor-Tijani, Ghita",29
Fall 2022,Boston,16192,CS 1802,46,19,18,"Park, John",576
Fall 2022,Boston,16188,CS 1802,42,19,19,"Park, John",576
Fall 2022,Boston,16193,CS 1802,48,36,33,"Amor-Tijani, Ghita",29
Fall 2022,Boston,14006,CY 3740,1,19,17,"Onarlioglu, Kaan",560
Fall 2022,Boston,16195,CS 1802,50,42,41,"Park, John",576
Fall 2022,Boston,16196,CS 1802,52,36,34,"Sundaram, Ravi",751
Fall 2022,Boston,16197,CS 1802,53,19,18,"Nunez, Lucia",552
Fall 2022,Boston,16198,CS 1802,54,19,17,"Nunez, Lucia",552
Fall 2022,Boston,14007,CY 4740,1,20,11,"Noubir, Guevara",549
Fall 2022,Online,12103,CS 1210,4,40,39,"Abdulle, Anis",2
Fall 2022,Boston,16199,CS 1802,55,19,17,"Strange, Laney",742
Fall 2022,Boston,17228,CS 7485,1,16,11,"Manolios, Pete",468
Fall 2022,Boston,11084,HINF 5101,1,40,39,"Cortez, Armando, Spitulnik, Jay","150, 733"
Fall 2022,Boston,14008,DS 4200,1,49,49,"Borkin, Michelle",91
Fall 2022,Online,12114,HINF 5102,2,40,24,"Bartolotta, Jim",57
Fall 2022,Boston,14009,IS 4200,1,15,15,"Smith, David",719
Fall 2022,Boston,14169,CS 4180,1,9,8,"Amato, Chris",26
Fall 2022,Boston,14170,CS 4810,1,10,6,"Derakhshan, Mahsa",176
Fall 2022,Boston,10079,IS 4300,1,49,47,"Yildirim, Caglar",873
Fall 2022,Boston,14181,CS 5700,1,43,40,"Choffnes, David",131
Fall 2022,Boston,16230,CS 4410,1,9,3,"Shivers III, Olin",698
Fall 2022,Boston,16231,CS 4530,3,49,49,"Bhutta, Adeel",75
Fall 2022,Boston,16232,CS 4820,1,3,1,"Manolios, Pete",468
Fall 2022,Boston,16233,CS 5010,2,107,97,"Shesh, Amit",693
Fall 2022,Boston,16234,CS 5340,1,49,41,"Yildirim, Caglar",873
Fall 2022,Boston,16049,DS 2000,3,120,119,"Muzny, Felix",533
Fall 2022,Boston,16235,CS 5400,1,16,12,"Barzilay, Eli",58
Fall 2022,Boston,16236,CS 6410,2,9,3,"Shivers III, Olin",698
Fall 2022,Boston,15214,CS 4530,2,49,49,"Bhutta, Adeel",75
Fall 2022,Boston,14182,CS 5800,2,150,124,"Sundaram, Ravi",751
Fall 2022,Boston,16050,DS 2500,2,87,92,"Higger, Matt",320
Fall 2022,Online,14626,DS 2000,1,120,121,"Rachlin, John",601
Fall 2022,Boston,16051,DS 2501,2,45,47,"Higger, Matt",320
Fall 2022,Boston,11127,CS 6140,1,87,56,"Radivojac, Predrag",603
Fall 2022,Boston,16052,DS 2501,3,45,48,"Higger, Matt",320
Fall 2022,Boston,19326,CS 5011,2,40,39,"Shesh, Amit",693
Fall 2022,Boston,19327,CS 5011,3,40,40,"Shesh, Amit",693
Fall 2022,Boston,19328,CS 5011,4,40,39,"Shesh, Amit",693
Fall 2022,Boston,19329,CS 5011,5,45,43,"Shesh, Amit",693
Fall 2022,Boston,19330,CS 5011,6,45,40,"Shesh, Amit",693
Fall 2022,Boston,19331,CS 5011,7,45,36,"Shesh, Amit",693
Fall 2022,Boston,19332,CS 5011,8,45,12,"Shesh, Amit",693
Fall 2022,Boston,16053,DS 2501,4,45,48,"Higger, Matt",320
Fall 2022,Online,16054,DS 3500,1,87,75,"Rachlin, John",601
Fall 2022,Boston,16055,DS 4200,2,19,19,"Mosca, Ab",525
Fall 2022,Boston,16056,DS 5020,2,65,22,"Brady, David",94
Fall 2022,Boston,16057,DS 5110,2,65,64,"Yehoshua, Roi",871
Fall 2022,Boston,12183,CS 1800,3,250,243,"Strange, Laney",742
Fall 2022,Boston,16058,DS 5230,2,75,72,"Yehoshua, Roi",871
Fall 2022,Boston,10136,CS 2800,1,49,49,"Trypakis, Stavros",782
Fall 2022,Online,16289,DS 2001,1,35,38,"Rachlin, John",601
Fall 2022,Boston,16290,DS 2001,2,35,35,"Sathyanarayana, Aarti",658
Fall 2022,Boston,16291,DS 2001,3,19,19,"Mosca, Ab",525
Fall 2022,Boston,16292,DS 2001,9,19,19,"Luo, Bowen",450
Fall 2022,Boston,11174,HINF 6220,2,34,34,"Feinberg, Daniel, Foster, Jamon","225, 239"
Fall 2022,Online,11176,HINF 5101,2,40,16,"Turner, Catherine",785
Fall 2022,Boston,16293,DS 2001,11,35,35,"Gillani, Nabeel",268
Fall 2022,Boston,14257,DS 3000,2,49,48,"Gerber, Eric",259
Fall 2022,Boston,10170,CS 2510,1,87,87,"Razzaq, Leena",620
Fall 2022,Boston,11996,HINF 6205,2,25,18,"Ries, Dan",630
Fall 2022,Boston,14295,HINF 5300,1,19,13,"Mishra, Varun",509
Fall 2022,Boston,15346,CS 2500,8,113,111,"Shivers III, Olin",698
Fall 2022,Boston,19856,DS 3000,4,49,48,"Gerber, Eric",259
Fall 2022,Boston,19888,CS 6350,1,20,19,"Mishra, Varun",509
Fall 2022,"Seattle, WA",19973,CS 5001,19,43,43,"Donaldson, Alex",184
Fall 2022,"Seattle, WA",19974,CS 5001,7,40,39,"Mullen, Tony",529
Fall 2022,"Seattle, WA",19975,CS 5001,8,36,21,"Singh, Sarita",708
Fall 2022,"Seattle, WA",19976,CS 5003,16,40,39,"Mullen, Tony",529
Fall 2022,"Seattle, WA",19977,CS 5010,6,40,26,"Cross, Brian",155
Fall 2022,"Seattle, WA",19978,CS 5010,7,30,18,"Bonaci, Tamara",88
Fall 2022,"Seattle, WA",19979,CS 5011,12,40,26,"Cross, Brian",155
Fall 2022,"Seattle, WA",19980,CS 5011,13,30,18,"Bonaci, Tamara",88
Fall 2022,"Seattle, WA",19981,CS 5100,9,45,16,"Veliz, Oscar",802
Fall 2022,"Seattle, WA",19982,CS 5400,2,30,6,"Song, Hosung",726
Fall 2022,"Seattle, WA",19983,CS 5500,4,60,59,"Bonicillo, Mark",89
Fall 2022,"Seattle, WA",19986,CS 5600,5,45,34,"Lash, Alexander",415
Fall 2022,"Seattle, WA",19987,CS 6620,2,45,43,"Mullen, Tony",529
Fall 2022,"Seattle, WA",19988,CS 6760,1,30,30,"Bonaci, Tamara",88
Fall 2022,"Seattle, WA",19998,CS 5002,8,36,34,"Singh, Sarita",708
Fall 2022,"Seattle, WA",19999,CS 5002,9,60,44,"Singh, Sarita",708
Fall 2022,"Seattle, WA",20000,CS 5003,15,43,43,"Donaldson, Alex",184
Fall 2022,"Seattle, WA",20001,CS 5003,17,36,21,"Singh, Sarita",708
Fall 2022,"Seattle, WA",20002,CS 5004,8,60,21,"Bonaci, Tamara",88
Fall 2022,"Seattle, WA",20003,CS 5005,5,60,21,"Bonaci, Tamara",88
Fall 2022,"Seattle, WA",20004,CS 5200,6,60,57,"Chhay, Bruce",128
Fall 2022,"Seattle, WA",20005,CS 5330,3,20,9,"Maxwell, Bruce",479
Fall 2022,"Seattle, WA",20006,CS 5610,5,60,59,"Mullen, Tony",529
Fall 2022,"Seattle, WA",20007,CS 5700,3,20,12,"Singh, Sarita",708
Fall 2022,"Seattle, WA",20008,CS 5800,10,60,58,"Sun, Zhifeng",750
Fall 2022,"Seattle, WA",20009,CS 6140,4,30,10,"Maxwell, Bruce",479
Fall 2022,"Seattle, WA",20011,CS 6240,2,36,20,"Wu, Ming-Chuan",855
Fall 2022,"Seattle, WA",20012,CS 6650,2,60,51,"Gorton, Ian",281
Fall 2022,Online,20040,CS 5610,6,79,73,"Annunziato, Jose",34
Fall 2022,Online,20047,CS 7180,1,40,12,"Maxwell, Bruce",479
Fall 2022,"Vancouver, Canada",20058,CS 5001,20,30,16,"Ali, Mona",16
Fall 2022,"Vancouver, Canada",20059,CS 5001,21,30,28,"Schmidt, Logan",665
Fall 2022,"Vancouver, Canada",20060,CS 5002,10,30,25,"Hoshino, Richard",328
Fall 2022,"Vancouver, Canada",20061,CS 5002,11,30,14,"Hoshino, Richard",328
Fall 2022,"Vancouver, Canada",20062,CS 5003,18,30,16,"Ali, Mona",16
Fall 2022,"Vancouver, Canada",20063,CS 5003,19,30,28,"Schmidt, Logan",665
Fall 2022,"Vancouver, Canada",20064,CS 5100,10,30,11,"Hoshino, Richard",328
Fall 2022,"Vancouver, Canada",20065,CS 5200,7,30,20,"Thomas, Jack",766
Fall 2022,"Vancouver, Canada",20066,CS 5004,9,24,13,"Coria Mendoza, Lino",148
Fall 2022,"Vancouver, Canada",20067,CS 5005,6,24,13,"Coria Mendoza, Lino",148
Fall 2022,"Vancouver, Canada",20068,CS 5008,5,24,11,"Schmidt, Logan",665
Fall 2022,"Vancouver, Canada",20069,CS 5009,6,24,11,"Schmidt, Logan",665
Fall 2022,"Vancouver, Canada",20071,CS 5010,9,30,18,"Coria Mendoza, Lino",148
Fall 2022,"Vancouver, Canada",20073,CS 5011,15,30,18,"Coria Mendoza, Lino",148
Fall 2022,"Vancouver, Canada",20074,CS 5200,8,30,28,"Thomas, Jack",766
Fall 2022,"Vancouver, Canada",20076,CS 5500,5,30,17,"Coady, Yvonne",138
Fall 2022,"Vancouver, Canada",20077,CS 5520,3,24,22,"Changizi, Neda",121
Fall 2022,"Vancouver, Canada",20078,CS 5610,7,24,25,"Changizi, Neda",121
Fall 2022,"Vancouver, Canada",20079,CS 5800,11,24,12,"Rad, Ryan",602
Fall 2022,"Vancouver, Canada",20080,CS 5800,12,30,16,"Rad, Ryan",602
Fall 2022,"Vancouver, Canada",20087,CS 7980,3,24,23,"Aibin, Michal",14
Fall 2022,Boston,20154,CY 5010,3,50,21,"Sierra, Jose",702
Fall 2022,Boston,20155,CY 5150,1,50,31,"Amorin, Kevin",30
Fall 2022,Boston,20156,CY 5210,1,50,49,"Booker, Elton",90
Fall 2022,Boston,20157,CY 5250,1,48,19,"Papageorge, Themis",572
Fall 2022,"Portland, Maine",20163,DS 5010,4,30,14,"Bogden, Philip",87
Fall 2022,"Portland, Maine",20164,DS 5020,3,30,12,"Viles, Weston",810
Fall 2022,"Seattle, WA",20216,CS 6220,3,36,8,"Aguiar, Everaldo",10
Fall 2022,Boston,20214,CS 5005,7,20,19,"Bagley, Keith",49
Fall 2022,Online,20230,CS 7180,2,40,16,"Maxwell, Bruce",479
Fall 2022,"Seattle, WA",20247,CS 5800,13,60,37,"Lee, Hyonho",421
Fall 2022,Boston,20251,CS 3501,24,19,11,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,Boston,20252,CS 3501,25,19,16,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,Boston,20253,CS 3501,28,19,14,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,Boston,20255,CS 3501,33,19,19,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,Boston,20256,CS 3501,32,19,19,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,Boston,20257,CS 3501,27,19,11,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,"Seattle, WA",20261,CS 6650,3,36,12,"Rajpal, Vishal",608
Fall 2022,"Vancouver, Canada",20310,CS 5200,9,24,22,"Thomas, Jack",766
Fall 2022,"Vancouver, Canada",20311,CS 5610,8,24,12,"Ali, Mona",16
Fall 2022,"Vancouver, Canada",20312,CS 6140,5,24,7,"Rad, Ryan",602
Fall 2022,"Vancouver, Canada",20313,CS 7980,4,18,15,"Aibin, Michal",14
Fall 2022,"Vancouver, Canada",20332,CS 5600,6,20,15,"Coady, Yvonne",138
Fall 2022,Boston,20303,CS 2800,5,49,49,"Trypakis, Stavros",782
Fall 2022,London,20338,CS 2500,9,65,59,"Derbinsky, Nate",177
Fall 2022,London,20339,CS 2500,10,65,65,"Derbinsky, Nate",177
Fall 2022,"Seattle, WA",20348,CS 5200,10,42,41,"Cobbe, Richard",139
Fall 2022,"Seattle, WA",20349,CS 5520,4,60,10,"Veliz, Oscar",802
Fall 2022,Boston,20350,DS 5500,1,65,44,"Bemis, Kylie",66
Fall 2022,"Oakland, CA",20434,CS 1800,30,60,58,"Wang, Susan",832
Fall 2022,"Oakland, CA",20435,CS 1802,30,30,27,"Wang, Susan",832
Fall 2022,"Oakland, CA",20436,CS 2500,30,60,47,"Spertus, Ellen",731
Fall 2022,"Oakland, CA",20437,CS 2501,30,30,30,"Bhalerao, Rasika, Spertus, Ellen","72, 731"
Fall 2022,"Oakland, CA",20472,CS 2501,32,30,28,"Bhalerao, Rasika, Spertus, Ellen","72, 731"
Fall 2022,Boston,20458,CS 1802,71,43,42,"Nunez, Lucia",552
Fall 2022,Boston,20459,CS 1802,72,43,42,"Strange, Laney",742
Fall 2022,"Oakland, CA",20465,CS 1800,31,60,44,"Wang, Susan",832
Fall 2022,"Oakland, CA",20466,CS 2500,31,60,53,"Spertus, Ellen",731
Fall 2022,"Oakland, CA",20468,CS 1802,32,30,26,"Wang, Susan",832
Fall 2022,"Oakland, CA",20469,CS 1802,33,30,27,"Wang, Susan",832
Fall 2022,"Oakland, CA",20470,CS 1802,31,30,22,"Wang, Susan",832
Fall 2022,"Oakland, CA",20473,CS 2501,31,30,28,"Bhalerao, Rasika, Spertus, Ellen","72, 731"
Fall 2022,"Oakland, CA",20474,CS 2501,33,30,14,"Bhalerao, Rasika, Spertus, Ellen","72, 731"
Fall 2022,Boston,20523,CS 5200,11,117,117,"Durant, Kathleen",195
Fall 2022,Boston,20544,DS 5110,4,56,56,"Bemis, Kylie",66
Fall 2022,"San Francisco, CA",20461,CS 5340,3,25,2,"Guerra Gomez, John Alexis",289
Fall 2022,"Silicon Valley, CA",20462,CS 5340,4,30,8,"Guerra Gomez, John Alexis",289
Fall 2022,Online,20463,CS 5610,9,79,78,"Annunziato, Jose",34
Fall 2022,Online,20387,DS 3000,5,60,60,"Lionelle, Albert",437
Fall 2022,Boston,20650,CS 7295,1,28,12,"Bertini, Enrico",70
Fall 2022,Online,20668,CS 5002,12,49,79,"Farahmand Asil, Maryam",220
Fall 2022,Online,20671,CS 5200,12,79,50,"Genao, Domingo",258
Fall 2022,"Oakland, CA",20701,CS 3800,30,15,2,"Xiao, Allen",857
Fall 2022,"Oakland, CA",20702,CY 2550,30,15,3,"Konrad, Almudena",401
Fall 2022,"Portland, Maine",20728,CS 5010,10,32,9,"Jamieson, Alan, Oboko, Robert","350, 555"
Fall 2022,"Portland, Maine",20729,CS 5011,16,32,9,"Jamieson, Alan, Oboko, Robert","350, 555"
Fall 2022,Boston,20758,CS 7930,1,15,5,"Kokernak, Jane",398
Fall 2022,Boston,20817,CS 4973,2,19,13,"Pate, Seth",579
Fall 2022,Boston,20928,CS 7880,1,29,12,"Behnezhad, Soheil",62
Fall 2022,"Silicon Valley, CA",20936,CS 5520,5,19,18,"Changizi, Neda",121
Fall 2022,"Silicon Valley, CA",20937,CS 6140,7,18,1,"Rad, Ryan",602
Fall 2022,Online,20941,CS 5800,14,79,58,"Kennedy, Justin",383
Fall 2022,Online,20950,DS 3000,6,79,76,"Clachar, Sophine",134
Fall 2022,"Oakland, CA",20956,CS 3700,30,20,2,"Konrad, Almudena",401
Fall 2022,"Silicon Valley, CA",21046,DS 5010,5,15,2,"Bogden, Philip",87
Fall 2022,Boston,21276,CS 5005,8,20,18,"Bagley, Keith",49
Fall 2022,"Seattle, WA",21277,CS 5610,10,40,17,"Jorgensen, Austin",367
Fall 2022,Boston,21334,CS 7480,1,29,5,"Martens, Chris",474
Fall 2022,Online,21406,CS 5340,5,40,38,"Jimison, Holly",359
Fall 2022,Boston,21414,CS 5002,13,30,23,"Mwaura, Jonathan",534
Fall 2022,London,21416,CS 2501,1,30,31,"Derbinsky, Nate",177
Fall 2022,London,21417,CS 2501,2,30,33,"Derbinsky, Nate",177
Fall 2022,London,21418,CS 2501,3,30,29,"Derbinsky, Nate",177
Fall 2022,London,21419,CS 2501,4,30,31,"Derbinsky, Nate",177
Fall 2022,Boston,21516,CS 1802,73,19,19,"Melder, Erika",490
Fall 2022,Boston,21517,CS 1802,74,19,18,"Melder, Erika",490
Fall 2022,Boston,21558,CS 3501,30,19,18,"Mihajlovikj, Vidoje, O'Reilly, Elizabeth","500, 554"
Fall 2022,"San Francisco, CA",21638,CS 6200,4,5,2,"Alonso, Omar",21
Fall 2022,"Vancouver, Canada",21663,CS 5340,6,10,4,"Guerra Gomez, John Alexis",289
Fall 2022,"Vancouver, Canada",21664,CS 7980,5,5,3,"Aibin, Michal",14
Fall 2022,"Seattle, WA",21694,CS 5003,20,25,4,"Narayan, Arasu",539
Fall 2022,"Seattle, WA",21695,CS 5001,6,25,4,"Narayan, Arasu",539
Fall 2022,"Vancouver, Canada",21843,CS 5964,1,25,5,"Coady, Yvonne",138
Fall 2022,Boston,20217,CY 7900,2,30,14,"Sierra, Jose",702
Fall 2023,Boston,15362,CS 3520,2,97,92,"Cooper, Seth",146
Fall 2023,Boston,15363,CS 4530,4,48,42,"Bhutta, Adeel",75
Fall 2023,"Oakland, CA",19946,DS 2001,30,50,22,"Fuentes-Cabrera, Miguel",245
Fall 2023,Boston,14342,CY 5010,1,49,14,"Sierra, Jose",702
Fall 2023,Online,14343,CY 5200,1,30,11,"Papageorge, Themis",572
Fall 2023,Online,15371,CS 6120,2,87,77,"Ahmad, Uzair",11
Fall 2023,Boston,15372,CS 5004,1,52,49,"Bagley, Keith",49
Fall 2023,Boston,14349,DS 2500,1,97,98,"Strange, Laney",742
Fall 2023,Boston,14350,DS 2501,1,34,19,"Strange, Laney",742
Fall 2023,Boston,14351,CS 5200,3,87,82,"Durant, Kathleen",195
Fall 2023,Online,14352,CS 6620,1,87,81,"Genao, Domingo",258
Fall 2023,Boston,15373,CS 5005,1,52,49,"Bagley, Keith",49
Fall 2023,Online,15374,CS 5008,1,87,86,"Hailpern, Brent",300
Fall 2023,Online,15375,CS 5009,1,87,86,"Kasaragod, Prathibha",377
Fall 2023,Boston,15377,CS 5800,3,113,105,"Behnezhad, Soheil",62
Fall 2023,Boston,15379,CS 3700,4,114,47,"Jackson, Alden",344
Fall 2023,"Portland, Maine",15381,CS 5010,4,32,28,"Dym, Brianna",199
Fall 2023,Online,15382,CS 5520,2,87,83,"Feinberg, Daniel",225
Fall 2023,Online,15385,CS 1210,11,30,30,"Starzec, Amy",741
